id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
1682;36081047100;Queens;Queens;4218;2157;2061;23.2;7.1;0;0;69.4;1921;46855;6460;21147;4753;20.9;27.5;29;34.9;20;4.4;11.7;13.9;5.6;68.9;6.8;4.8;0;41;1994;88.5;6.7;4.9;0;4.5;407.400.502.513;-738.779.396.985;NY;40.7400502513 -73.8779396985
1683;36081047200;Queens;Queens;4027;1673;2354;14.4;20.2;23.2;0;40.2;2952;65592;9191;32415;4623;13.1;41.9;43.1;20.4;24.4;5.5;6.6;29.9;6.8;57.5;2;0;3.8;44.6;1737;77.1;16.8;5.6;0.5;9.7;407.151.758.794;-737.829.648.241;NY;40.7151758794 -73.7829648241
1684;36081047300;Queens;Queens;3710;1644;2066;20.4;11.8;2.6;0;65.1;2041;52500;4878;28032;3572;17;25.8;32.4;33.1;16.5;5;13.1;12.6;2.5;73.2;8.6;0.4;2.7;41.6;1969;77;8.6;14.4;0;8.1;407.355.276.382;-738.811.055.276;NY;40.7355276382 -73.8811055276
1685;36081047500;Queens;Queens;4570;2177;2393;29.8;10;0.3;0;56.5;2185;54130;16452;23540;3859;19.4;31.8;27.2;28.6;24.5;4.9;14.8;14.4;2.1;75.3;7.5;0;0.7;41.7;2159;85.7;7.7;6.6;0;6.9;407.310.050.251;-738.779.396.985;NY;40.7310050251 -73.8779396985
1686;36081047600;Queens;Queens;1459;772;687;9.4;35.9;13.7;0;36.1;853;86750;43654;40317;8492;5.1;5.6;54.9;8.6;30.5;4.4;1.7;68.7;7.2;19.6;0;1.9;2.6;34;725;82.6;11.9;4.6;1;3.6;407.196.984.925;-737.766.331.658;NY;40.7196984925 -73.7766331658
1687;36081047800;Queens;Queens;5500;2596;2904;23.6;20;23.2;0;23.9;3907;80149;12076;34563;3630;7.4;4.2;37.4;15.4;30;8.6;8.7;53.1;3.6;37.7;2.8;0.6;2.1;42.9;3015;73.2;18.4;8.4;0;4.5;407.151.758.794;-737.734.673.367;NY;40.7151758794 -73.7734673367
1688;36081047900;Queens;Queens;5357;2649;2708;17;10.7;0.8;0;70.7;2822;46956;5183;20897;1885;17.4;28.4;25.5;22.2;30;1.9;20.4;27.8;8.1;54.5;6.6;2.7;0.4;42;2589;83.1;9.2;6.7;1;5;407.332.663.317;-738.874.371.859;NY;40.7332663317 -73.8874371859
1689;36081048000;Queens;Queens;2932;1486;1446;20.1;3.2;17.9;5.7;42;1737;60398;14355;27301;4405;10;17.6;28.1;24;27.8;5.6;14.5;40.8;4.5;50.1;1.6;2;0.9;42.9;1304;74.7;13.7;11.7;0;14.9;407.106.532.663;-737.734.673.367;NY;40.7106532663 -73.7734673367
1690;36081048100;Queens;Queens;6527;3302;3225;33.1;9;5;0;49.5;3614;35654;8092;20281;3167;16.2;8.1;19.1;36.9;21.7;7.5;14.8;14.1;12.5;59.3;9.6;3.4;1.2;36.8;2773;83.1;6.7;10.1;0;5.8;407.423.115.578;-738.874.371.859;NY;40.7423115578 -73.8874371859
1691;36081048200;Queens;Queens;1556;716;840;21.5;3.5;22;0;41.5;1127;83333;24482;24602;2892;7.8;10.3;32.3;22.8;28;7.3;9.5;42.3;6.1;44.4;4.4;0.7;2;42.6;767;84.2;12.4;3.4;0;14.8;407.151.758.794;-737.703.015.075;NY;40.7151758794 -73.7703015075
